"";"latitude";"longitude";"coordinateUncertaintyInMeters";"species"
"1";-0,341365;-78,055873;31451;"Tremarctos ornatus"
"2";0,048272;-78,651419;31451;"Tremarctos ornatus"
"3";-1,313636;-78,178259;31447;"Tremarctos ornatus"
"4";-0,361018;-78,317138;31451;"Tremarctos ornatus"
"5";-0,428185;-78,296929;31451;"Tremarctos ornatus"
"6";-0,413129;-78,201136;31451;"Tremarctos ornatus"
"7";-0,540592;-78,231215;31451;"Tremarctos ornatus"
"8";-0,320285;-78,223071;31451;"Tremarctos ornatus"
"9";-0,249705;-78,381822;31451;"Tremarctos ornatus"
"10";-0,276957;-78,269511;31451;"Tremarctos ornatus"
"11";-0,558552;-78,211497;31451;"Tremarctos ornatus"
"12";0,114286;-78,678449;31451;"Tremarctos ornatus"
"13";0,050534;-78,771531;31451;"Tremarctos ornatus"
"14";0,067984;-78,759512;31451;"Tremarctos ornatus"
"15";0,048099;-78,742083;31451;"Tremarctos ornatus"
"16";0,061758;-78,705749;31451;"Tremarctos ornatus"
"17";5,51919;-72,43222;1562;"Tremarctos ornatus"
"18";0,148143;-78,780004;31451;"Tremarctos ornatus"
"19";0,126911;-78,600044;31451;"Tremarctos ornatus"
"20";0,171961;-78,779756;31451;"Tremarctos ornatus"
"21";-0,130898;-78,654637;31451;"Tremarctos ornatus"
"22";-11,359317;-75,346832;NA;"Tremarctos ornatus"
"23";-11,359317;-75,346832;NA;"Tremarctos ornatus"
"24";-11,359317;-75,346832;NA;"Tremarctos ornatus"
"25";-11,359317;-75,346832;NA;"Tremarctos ornatus"
"26";-11,30368;-75,34645;NA;"Tremarctos ornatus"
"27";3,601306;-75,913944;NA;"Tremarctos ornatus"
"28";3,571667;-75,974139;NA;"Tremarctos ornatus"
"29";3,570944;-75,973194;NA;"Tremarctos ornatus"
"30";3,570944;-75,9741;NA;"Tremarctos ornatus"
"31";3,584194;-75,955722;NA;"Tremarctos ornatus"
"32";3,593861;-75,939694;NA;"Tremarctos ornatus"
"33";3,570806;-75,957722;NA;"Tremarctos ornatus"
"34";3,599417;-75,912889;NA;"Tremarctos ornatus"
"35";3,572417;-75,969528;NA;"Tremarctos ornatus"
"36";5,535894;-75,889941;31379;"Tremarctos ornatus"
"37";1,937145;-76,018031;31442;"Tremarctos ornatus"
"38";-9,774358;-75,854978;NA;"Tremarctos ornatus"
"39";3,812444;-75,833556;NA;"Tremarctos ornatus"
"40";3,884667;-75,832889;NA;"Tremarctos ornatus"
"41";3,84175;-75,857889;NA;"Tremarctos ornatus"
"42";3,823361;-75,857389;NA;"Tremarctos ornatus"
"43";3,888889;-75,833667;NA;"Tremarctos ornatus"
"44";3,892167;-75,832306;NA;"Tremarctos ornatus"
"45";3,829778;-75,855639;NA;"Tremarctos ornatus"
"46";3,829472;-75,852333;NA;"Tremarctos ornatus"
"47";3,801611;-75,839639;NA;"Tremarctos ornatus"
"48";3,797722;-75,840028;NA;"Tremarctos ornatus"
"49";3,84942;-75,8529;NA;"Tremarctos ornatus"
"50";3,878556;-75,833389;NA;"Tremarctos ornatus"
"51";4,761162;-73,987053;31398;"Tremarctos ornatus"
"52";4,9144;-73,7279;NA;"Tremarctos ornatus"
"53";7,082879;-75,209787;356919;"Tremarctos ornatus"
"54";-9,301988;-76,50172;NA;"Tremarctos ornatus"
"55";-9,304143;-76,504718;NA;"Tremarctos ornatus"
"56";-9,303593;-76,502435;NA;"Tremarctos ornatus"
"57";-9,221013;-76,624412;NA;"Tremarctos ornatus"
"58";-9,302172;-76,501529;NA;"Tremarctos ornatus"
"59";3,734833;-75,779389;NA;"Tremarctos ornatus"
"60";3,729639;-75,779139;NA;"Tremarctos ornatus"
"61";3,464944;-76,054722;NA;"Tremarctos ornatus"
"62";3,634833;-75,960361;NA;"Tremarctos ornatus"
"63";3,463611;-76,051389;NA;"Tremarctos ornatus"
"64";3,636611;-75,955561;NA;"Tremarctos ornatus"
"65";3,737861;-75,780056;NA;"Tremarctos ornatus"
"66";3,719472;-75,898806;NA;"Tremarctos ornatus"
"67";3,638361;-76,017667;NA;"Tremarctos ornatus"
"68";3,630806;-76,0025;NA;"Tremarctos ornatus"
"69";3,451917;-76,057833;NA;"Tremarctos ornatus"
"70";3,466889;-76,04625;NA;"Tremarctos ornatus"
"71";3,730333;-75,775389;NA;"Tremarctos ornatus"
"72";3,717333;-75,8885;NA;"Tremarctos ornatus"
"73";3,724917;-75,788028;NA;"Tremarctos ornatus"
"74";3,630306;-76,012333;NA;"Tremarctos ornatus"
"75";3,715167;-75,896389;NA;"Tremarctos ornatus"
"76";3,637139;-76,009806;NA;"Tremarctos ornatus"
"77";4,9144;-73,7279;NA;"Tremarctos ornatus"
"78";4,9144;-73,7279;NA;"Tremarctos ornatus"
"79";4,9144;-73,7279;NA;"Tremarctos ornatus"
"80";4,9144;-73,7279;NA;"Tremarctos ornatus"
"81";4,9144;-73,7279;NA;"Tremarctos ornatus"
"82";4,9144;-73,7279;NA;"Tremarctos ornatus"
"83";4,9144;-73,7279;NA;"Tremarctos ornatus"
"84";4,9144;-73,7279;NA;"Tremarctos ornatus"
"85";4,9144;-73,7279;NA;"Tremarctos ornatus"
"86";4,9144;-73,7279;NA;"Tremarctos ornatus"
"87";4,9144;-73,7279;NA;"Tremarctos ornatus"
"88";4,9144;-73,7279;NA;"Tremarctos ornatus"
"89";4,9144;-73,7279;NA;"Tremarctos ornatus"
"90";4,9144;-73,7279;NA;"Tremarctos ornatus"
"91";4,9144;-73,7279;NA;"Tremarctos ornatus"
"92";4,9136;-73,7276;NA;"Tremarctos ornatus"
"93";4,9136;-73,7276;NA;"Tremarctos ornatus"
"94";4,9136;-73,7276;NA;"Tremarctos ornatus"
"95";4,9136;-73,7276;NA;"Tremarctos ornatus"
"96";4,9161;-73,7305;NA;"Tremarctos ornatus"
"97";4,9161;-73,7305;NA;"Tremarctos ornatus"
"98";4,9161;-73,7305;NA;"Tremarctos ornatus"
"99";4,9161;-73,7305;NA;"Tremarctos ornatus"
"100";4,9161;-73,7305;NA;"Tremarctos ornatus"
"101";4,9161;-73,7305;NA;"Tremarctos ornatus"
"102";4,9161;-73,7305;NA;"Tremarctos ornatus"
"103";4,9161;-73,7305;NA;"Tremarctos ornatus"
"104";4,9154;-73,7284;NA;"Tremarctos ornatus"
"105";4,9154;-73,7284;NA;"Tremarctos ornatus"
"106";4,9154;-73,7284;NA;"Tremarctos ornatus"
"107";4,9136;-73,7276;NA;"Tremarctos ornatus"
"108";4,9144;-73,7279;NA;"Tremarctos ornatus"
"109";4,9144;-73,7279;NA;"Tremarctos ornatus"
"110";4,9144;-73,7279;NA;"Tremarctos ornatus"
"111";4,9144;-73,7279;NA;"Tremarctos ornatus"
"112";4,9144;-73,7279;NA;"Tremarctos ornatus"
"113";4,9144;-73,7279;NA;"Tremarctos ornatus"
"114";4,9144;-73,7279;NA;"Tremarctos ornatus"
"115";4,9144;-73,7279;NA;"Tremarctos ornatus"
"116";4,9144;-73,7279;NA;"Tremarctos ornatus"
"117";4,9144;-73,7279;NA;"Tremarctos ornatus"
"118";4,9144;-73,7279;NA;"Tremarctos ornatus"
"119";4,9144;-73,7279;NA;"Tremarctos ornatus"
"120";4,9144;-73,7279;NA;"Tremarctos ornatus"
"121";4,9144;-73,7279;NA;"Tremarctos ornatus"
"122";4,9136;-73,7276;NA;"Tremarctos ornatus"
"123";4,9136;-73,7276;NA;"Tremarctos ornatus"
"124";4,9136;-73,7276;NA;"Tremarctos ornatus"
"125";4,9161;-73,7305;NA;"Tremarctos ornatus"
"126";4,9161;-73,7305;NA;"Tremarctos ornatus"
"127";4,9161;-73,7305;NA;"Tremarctos ornatus"
"128";4,9161;-73,7305;NA;"Tremarctos ornatus"
"129";4,9161;-73,7305;NA;"Tremarctos ornatus"
"130";4,9161;-73,7305;NA;"Tremarctos ornatus"
"131";4,9161;-73,7305;NA;"Tremarctos ornatus"
"132";4,9161;-73,7305;NA;"Tremarctos ornatus"
"133";4,9154;-73,7284;NA;"Tremarctos ornatus"
"134";4,9154;-73,7284;NA;"Tremarctos ornatus"
"135";4,9136;-73,7276;NA;"Tremarctos ornatus"
"136";4,9144;-73,7279;NA;"Tremarctos ornatus"
"137";4,9144;-73,7279;NA;"Tremarctos ornatus"
"138";4,9144;-73,7279;NA;"Tremarctos ornatus"
"139";4,9144;-73,7279;NA;"Tremarctos ornatus"
"140";4,9144;-73,7279;NA;"Tremarctos ornatus"
"141";4,9144;-73,7279;NA;"Tremarctos ornatus"
"142";4,9144;-73,7279;NA;"Tremarctos ornatus"
"143";4,9144;-73,7279;NA;"Tremarctos ornatus"
"144";4,9144;-73,7279;NA;"Tremarctos ornatus"
"145";4,9144;-73,7279;NA;"Tremarctos ornatus"
"146";4,9144;-73,7279;NA;"Tremarctos ornatus"
"147";4,9144;-73,7279;NA;"Tremarctos ornatus"
"148";4,9144;-73,7279;NA;"Tremarctos ornatus"
"149";4,9144;-73,7279;NA;"Tremarctos ornatus"
"150";4,9136;-73,7276;NA;"Tremarctos ornatus"
"151";4,9136;-73,7276;NA;"Tremarctos ornatus"
"152";4,9136;-73,7276;NA;"Tremarctos ornatus"
"153";4,9136;-73,7276;NA;"Tremarctos ornatus"
"154";4,9136;-73,7276;NA;"Tremarctos ornatus"
"155";4,9161;-73,7305;NA;"Tremarctos ornatus"
"156";4,9161;-73,7305;NA;"Tremarctos ornatus"
"157";4,9161;-73,7305;NA;"Tremarctos ornatus"
"158";4,9161;-73,7305;NA;"Tremarctos ornatus"
"159";4,9161;-73,7305;NA;"Tremarctos ornatus"
"160";4,9161;-73,7305;NA;"Tremarctos ornatus"
"161";4,9161;-73,7305;NA;"Tremarctos ornatus"
"162";4,9154;-73,7284;NA;"Tremarctos ornatus"
"163";4,9154;-73,7284;NA;"Tremarctos ornatus"
"164";4,9136;-73,7276;NA;"Tremarctos ornatus"
"165";4,9144;-73,7279;NA;"Tremarctos ornatus"
"166";4,9144;-73,7279;NA;"Tremarctos ornatus"
"167";4,9144;-73,7279;NA;"Tremarctos ornatus"
"168";4,9144;-73,7279;NA;"Tremarctos ornatus"
"169";4,9144;-73,7279;NA;"Tremarctos ornatus"
"170";4,9144;-73,7279;NA;"Tremarctos ornatus"
"171";4,9144;-73,7279;NA;"Tremarctos ornatus"
"172";4,9144;-73,7279;NA;"Tremarctos ornatus"
"173";4,9144;-73,7279;NA;"Tremarctos ornatus"
"174";4,9144;-73,7279;NA;"Tremarctos ornatus"
"175";4,9144;-73,7279;NA;"Tremarctos ornatus"
"176";4,9144;-73,7279;NA;"Tremarctos ornatus"
"177";4,9144;-73,7279;NA;"Tremarctos ornatus"
"178";4,9136;-73,7276;NA;"Tremarctos ornatus"
"179";4,9136;-73,7276;NA;"Tremarctos ornatus"
"180";4,9136;-73,7276;NA;"Tremarctos ornatus"
"181";4,9136;-73,7276;NA;"Tremarctos ornatus"
"182";4,9161;-73,7305;NA;"Tremarctos ornatus"
"183";4,9161;-73,7305;NA;"Tremarctos ornatus"
"184";4,9161;-73,7305;NA;"Tremarctos ornatus"
"185";4,9161;-73,7305;NA;"Tremarctos ornatus"
"186";4,9161;-73,7305;NA;"Tremarctos ornatus"
"187";4,9161;-73,7305;NA;"Tremarctos ornatus"
"188";4,9161;-73,7305;NA;"Tremarctos ornatus"
"189";4,9154;-73,7284;NA;"Tremarctos ornatus"
"190";4,9154;-73,7284;NA;"Tremarctos ornatus"
"191";4,9136;-73,7276;NA;"Tremarctos ornatus"
"192";3,649639;-75,943222;NA;"Tremarctos ornatus"
